SegmentID,X1,Y1,X2,Y2,X3,Y3,MinSpeed1,MaxSpeed1,MinSpeed2,MaxSpeed2,MinSpeed3,MaxSpeed3
772,109.074152795,12.2096228727,0,0,0,0,0,70,0,0,0,0
773,0,0,109.073904384,12.2092152075,0,0,0,0,0,70,0,0
773,0,0,0,0,109.074030075,12.2094181696,0,0,0,0,0,70
774,109.073038575,12.2074429561,0,0,0,0,0,70,0,0,0,0
769,0,0,109.074667589,12.210375752,0,0,0,0,0,70,0,0
774,0,0,0,0,109.073837965,12.2089172197,0,0,0,0,0,70
770,109.074712834,12.2104564795,0,0,0,0,0,70,0,0,0,0
768,0,0,109.074758033,12.2105381765,0,0,0,0,0,70,0,0
775,0,0,0,0,109.074735433,12.210497328,0,0,0,0,0,70
769,109.074667589,12.210375752,0,0,0,0,0,70,0,0,0,0
770,0,0,109.074712834,12.2104564795,0,0,0,0,0,70,0,0
776,0,0,0,0,109.074690433,12.2104159911,0,0,0,0,0,70
768,109.074687214,12.2105737177,0,0,0,0,0,70,0,0,0,0
770,0,0,109.074644225,12.2104996986,0,0,0,0,0,70,0,0
777,0,0,0,0,109.07466572,12.2105367082,0,0,0,0,0,70
770,109.074644225,12.2104996986,0,0,0,0,0,70,0,0,0,0
769,0,0,109.074597463,12.2104191839,0,0,0,0,0,70,0,0
778,0,0,0,0,109.074620844,12.2104594413,0,0,0,0,0,70
779,109.077575066,12.2151779783,0,0,0,0,0,70,0,0,0,0
779,0,0,109.077639701,12.2151325749,0,0,0,0,0,70,0,0
779,0,0,0,0,109.077607384,12.2151552766,0,0,0,0,0,70
780,109.077479699,12.2150443722,0,0,0,0,0,70,0,0,0,0
780,0,0,109.077541867,12.2149983588,0,0,0,0,0,70,0,0
780,0,0,0,0,109.077510783,12.2150213655,0,0,0,0,0,70
781,109.07753735,12.215125139,0,0,0,0,0,70,0,0,0,0
781,0,0,109.077599532,12.2150774672,0,0,0,0,0,70,0,0
781,0,0,0,0,109.077568441,12.2151013031,0,0,0,0,0,70
780,109.077479699,12.2150443722,0,0,0,0,0,70,0,0,0,0
782,0,0,109.07626317,12.2133417741,0,0,0,0,0,70,0,0
782,0,0,0,0,109.076866399,12.2141966418,0,0,0,0,0,70
782,109.07626317,12.2133417741,0,0,0,0,0,70,0,0,0,0
783,0,0,109.07589942,12.2127408768,0,0,0,0,0,70,0,0
783,0,0,0,0,109.076074758,12.213045303,0,0,0,0,0,70
783,109.07589942,12.2127408768,0,0,0,0,0,70,0,0,0,0
784,0,0,109.075473442,12.2119956253,0,0,0,0,0,70,0,0
